Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
519,Salim Musah,,CF,Werder Bremen,19,"€ 3,654 (£ 3,167, $4,256)","€ 190,000 (£ 164,703, $221,290)",Unverified estimation
520,David Preu,de GER,MF,Union Berlin,20,"€ 3,654 (£ 3,167, $4,256)","€ 190,000 (£ 164,703, $221,290)",Unverified estimation
521,Samba Konaté,,CF,RB Leipzig,16,"€ 3,654 (£ 3,164, $4,247)","€ 190,000 (£ 164,551, $220,850)",Unverified estimation
522,Malek El Mala,de GER,CF,Köln,20,"€ 3,654 (£ 3,167, $4,256)","€ 190,000 (£ 164,703, $221,290)",Unverified estimation
523,Lúkas Petersson,is ISL,GK,Hoffenheim,21,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
524,Felix Meiser,,CB,Augsburg,19,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
525,Fernando Dickes,de GER,GK,Hamburger SV,18,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
526,Omar Megeed,,AM,Hamburger SV,20,"€ 3,269 (£ 2,831, $3,800)","€ 170,000 (£ 147,230, $197,602)",Unverified estimation
527,Shafiq Nandja,,CB,Hamburger SV,19,"€ 3,269 (£ 2,831, $3,800)","€ 170,000 (£ 147,230, $197,602)",Unverified estimation
528,Marwin Schmitz,,DM,St Pauli,19,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
529,Florian Hellstern,,GK,Stuttgart,18,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
530,Mick Schmetgens,,CB,Werder Bremen,18,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
531,Stefan Smarkalev,,GK,Werder Bremen,18,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
532,Wesley Adeh,,DM,Werder Bremen,19,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
533,Andrik Markgraf,,LB,Union Berlin,19,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
534,Emin Kujovic,,CM,Köln,21,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
535,Fayssal Harchaoui,de GER,DM,Köln,20,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
536,Louis Lemke,,LB,Hamburger SV,16,"€ 2,885 (£ 2,498, $3,353)","€ 150,000 (£ 129,909, $174,355)",Unverified estimation
537,Emil Gazdov,ca CAN,GK,St Pauli,21,"€ 2,885 (£ 2,498, $3,353)","€ 150,000 (£ 129,909, $174,355)",
538,Dmytro Bogdanov,,CF,Union Berlin,18,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
539,Nick Schmidt,,CM,St Pauli,18,"€ 2,500 (£ 2,165, $2,906)","€ 130,000 (£ 112,587, $151,108)",Unverified estimation
540,Otto Stange,de GER,FW,Hamburger SV,18,"€ 1,731 (£ 1,492, $2,026)","€ 90,000 (£ 77,596, $105,350)",Unverified estimation
