Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
364,Roony Bardghji,,RW,Barcelona,20,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
365,Iñigo Lekue,es ESP,DF,Athletic Club,32,"€ 19,231 (£ 16,670, $22,398)","€ 1,000,000 (£ 866,858, $1,164,684)",Unverified estimation
366,David Affengruber,at AUT,DF,Elche,24,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
367,Gonzalo Villar,es ESP,MF,Elche,27,"€ 18,077 (£ 15,656, $21,012)","€ 940,000 (£ 814,094, $1,092,624)",Unverified estimation
368,Martim Neto,,CM,Elche,23,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
369,Pedro Bigas,es ESP,DF,Elche,34,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
370,Martin Satriano,uy URU,"FW,MF",Getafe,24,"€ 18,077 (£ 15,656, $21,012)","€ 940,000 (£ 814,094, $1,092,624)",Unverified estimation
371,Facundo Garcés,my MAS,DF,Alavés,25,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
372,Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,33,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
373,Iván Balliu,al ALB,DF,Rayo Vallecano,33,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
374,Carlos Romero,es ESP,DF,Espanyol,23,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
375,Ilyas Chaira,ma MAR,"MF,FW",Oviedo,24,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
376,Carlos Dominguez,es ESP,DF,Celta Vigo,24,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
377,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22,"€ 18,077 (£ 15,670, $21,054)","€ 940,000 (£ 814,846, $1,094,803)",Unverified estimation
378,Mateo Joseph,,CF,Mallorca,22,"€ 17,308 (£ 15,003, $20,158)","€ 900,000 (£ 780,172, $1,048,215)",Unverified estimation
379,Unai Núñez,es ESP,DF,Valencia,28,"€ 16,346 (£ 14,157, $19,000)","€ 850,000 (£ 736,149, $988,011)",Unverified estimation
380,Aitor Fernández,es ESP,GK,Osasuna,34,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
381,Kike Barja,es ESP,MF,Osasuna,28,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
382,Víctor Muñoz,,LW,Osasuna,22,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
383,Mateu Morey,es ESP,"DF,MF",Mallorca,25,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
384,Omar Mascarell,gq EQG,"MF,DF",Mallorca,32,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
385,Maroan Sannadi,ma MAR,FW,Athletic Club,24,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
386,Álvaro Rodríguez,uy URU,FW,Elche,21,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
387,Bambo Diaby,sn SEN,DF,Elche,27,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
388,Germán Valera,es ESP,"MF,DF",Elche,23,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
389,Víctor Chust,es ESP,DF,Elche,25,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
390,Coba da Costa,es ESP,MF,Getafe,23,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
391,Iglesias,es ESP,DF,Getafe,27,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
392,Nikola Maraš,rs SRB,DF,Alavés,29,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
393,Gerard Gumbau,es ESP,MF,Rayo Vallecano,30,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
394,Sergio Camello,es ESP,"FW,MF",Rayo Vallecano,24,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
395,Clemens Riedel,de GER,DF,Espanyol,22,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
396,José Salinas,es ESP,DF,Espanyol,24,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
397,Haissem Hassan,eg EGY,"MF,FW",Oviedo,23,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
398,Kwasi Sibo,gh GHA,MF,Oviedo,27,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
399,Lucas Ahijado,es ESP,DF,Oviedo,30,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
400,Oier Luengo,es ESP,DF,Oviedo,27,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
401,Ovie Ejaria,eng ENG,MF,Oviedo,27,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
402,Jon Karrikaburu,es ESP,FW,Real Sociedad,22,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
403,Jon Martín,,CB,Real Sociedad,19,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
404,Javi Rodríguez,,CB,Celta Vigo,22,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
405,Javi Rueda,,RB,Celta Vigo,23,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
406,Pablo García,,RW,Real Betis,19,"€ 16,154 (£ 14,003, $18,814)","€ 840,000 (£ 728,160, $978,334)",Unverified estimation
407,Alfon,es ESP,MF,Villarreal,26,"€ 15,962 (£ 13,824, $18,553)","€ 830,000 (£ 718,828, $964,764)",Unverified estimation
408,Matias Moreno,ar ARG,DF,Levante,21,"€ 15,962 (£ 13,836, $18,590)","€ 830,000 (£ 719,492, $966,687)",
409,Pablo Campos,,GK,Levante,23,"€ 15,962 (£ 13,836, $18,590)","€ 830,000 (£ 719,492, $966,687)",Unverified estimation
410,Víctor García,,RB,Levante,28,"€ 15,962 (£ 13,836, $18,590)","€ 830,000 (£ 719,492, $966,687)",Unverified estimation
411,Carlos Martín,es ESP,"MF,FW",Rayo Vallecano,23,"€ 15,962 (£ 13,824, $18,553)","€ 830,000 (£ 718,828, $964,764)",Unverified estimation
412,Ilias Akhomach,ma MAR,"MF,FW",Rayo Vallecano,21,"€ 15,962 (£ 13,824, $18,553)","€ 830,000 (£ 718,828, $964,764)",Unverified estimation
413,Thiago Borbas,,CF,Oviedo,23,"€ 15,962 (£ 13,824, $18,553)","€ 830,000 (£ 718,828, $964,764)",Unverified estimation
414,Obed Vargas,mx MEX,MF,Atlético Madrid,19,"€ 15,962 (£ 13,824, $18,553)","€ 830,000 (£ 718,828, $964,764)",Unverified estimation
415,Fer López,,AM,Celta Vigo,21,"€ 14,423 (£ 12,491, $16,765)","€ 750,000 (£ 649,543, $871,775)",Unverified estimation
416,Alex Freeman,us USA,DF,Villarreal,20,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
417,Abde Rebbach,dz ALG,"MF,DF",Alavés,26,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
418,Iker Muñoz,,DM,Osasuna,23,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
419,Abdón Prats,es ESP,FW,Mallorca,32,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
420,Marc Aguado,es ESP,MF,Elche,25,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
421,Carlos Benavídez,uy URU,DF,Alavés,27,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
422,Alejandro Francés,es ESP,DF,Girona,22,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
423,Adrián de la Fuente,es ESP,DF,Levante,26,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
424,Diego Pampín,es ESP,DF,Levante,25,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
425,Fran Pérez,,RW,Rayo Vallecano,23,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
426,Antoniu Roca,,RW,Espanyol,23,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
427,Rubén Sánchez,,RB,Espanyol,25,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
428,Álex Forés,es ESP,FW,Oviedo,24,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
429,Hugo Sotelo,es ESP,MF,Celta Vigo,21,"€ 13,846 (£ 12,003, $16,126)","€ 720,000 (£ 624,137, $838,572)",Unverified estimation
430,Jorge Herrando,es ESP,DF,Osasuna,24,"€ 12,115 (£ 10,502, $14,111)","€ 630,000 (£ 546,120, $733,751)",Unverified estimation
431,Zito Luvumbo,ao ANG,"FW,MF",Mallorca,23,"€ 12,115 (£ 10,493, $14,083)","€ 630,000 (£ 545,616, $732,291)",Unverified estimation
432,Lucas Cepeda,,LW,Elche,23,"€ 12,115 (£ 10,493, $14,083)","€ 630,000 (£ 545,616, $732,291)",Unverified estimation
433,Allan Nyom,cm CMR,DF,Getafe,37,"€ 12,115 (£ 10,493, $14,083)","€ 630,000 (£ 545,616, $732,291)",Unverified estimation
434,Veljko Birmančević,rs SRB,FW,Getafe,27,"€ 12,115 (£ 10,493, $14,083)","€ 630,000 (£ 545,616, $732,291)",Unverified estimation
435,Nicolás Fonseca,,DM,Oviedo,27,"€ 12,115 (£ 10,493, $14,083)","€ 630,000 (£ 545,616, $732,291)",Unverified estimation
436,Pau Navarro,es ESP,DF,Villarreal,20,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
437,Jan Virgili,,LW,Mallorca,19,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
438,Alejandro Iturbe,,GK,Elche,22,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
439,Matías Dituro,ar ARG,GK,Elche,38,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
440,Jiří Letáček,,GK,Getafe,26,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
441,Raúl Fernández,es ESP,GK,Alavés,37,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
442,Dani Cárdenas,es ESP,GK,Rayo Vallecano,28,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
443,Nobel Mendy,sn SEN,DF,Rayo Vallecano,20,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
444,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,31,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
445,Ramón Terrats,es ESP,MF,Espanyol,24,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
446,Brandon Domingues,fr FRA,MF,Oviedo,25,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
447,Peque Fernández,,SS,Sevilla,23,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
448,Ángel Ortíz,es ESP,DF,Real Betis,21,"€ 11,923 (£ 10,336, $13,887)","€ 620,000 (£ 537,452, $722,104)",Unverified estimation
449,Alex Padilla,es ESP,GK,Athletic Club,21,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
450,John Donald,,CB,Elche,25,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
451,Abu Kamara,,RW,Getafe,22,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
452,Luis Vázquez,ar ARG,FW,Getafe,24,"€ 10,000 (£ 8,661, $11,624)","€ 520,000 (£ 450,350, $604,431)",Unverified estimation
453,Mario Martín,es ESP,"MF,FW",Getafe,21,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
454,Sebastián Boselli,,CB,Getafe,22,"€ 10,000 (£ 8,661, $11,624)","€ 520,000 (£ 450,350, $604,431)",Unverified estimation
455,Calebe,br BRA,MF,Alavés,25,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
456,Claudio Echeverri,ar ARG,"FW,MF",Girona,19,"€ 10,000 (£ 8,661, $11,624)","€ 520,000 (£ 450,350, $604,431)",Unverified estimation
457,Hugo Rincón,es ESP,DF,Girona,22,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
458,Carlos Álvarez,es ESP,MF,Levante,21,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
459,Abdul Mumin,gh GHA,DF,Rayo Vallecano,27,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
460,Jones El-Abdellaoui,,RW,Celta Vigo,20,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
461,Pau Cabanes,es ESP,FW,Villarreal,20,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
462,Adama Boiro,es ESP,DF,Athletic Club,23,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
463,Urko Izeta,es ESP,FW,Athletic Club,25,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
464,Josan,es ESP,"MF,DF",Elche,35,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
465,Ismael Bekhoucha,ma MAR,DF,Getafe,20,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
466,Zaid Romero,ar ARG,DF,Getafe,25,"€ 8,077 (£ 6,995, $9,388)","€ 420,000 (£ 363,744, $488,194)",Unverified estimation
467,Victor Parada,es ESP,DF,Alavés,23,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
468,Youssef Enríquez,,LB,Alavés,20,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
469,Joel Roca,es ESP,"MF,FW",Girona,20,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
470,Kareem Tunde,,RW,Levante,20,"€ 8,077 (£ 6,995, $9,388)","€ 420,000 (£ 363,744, $488,194)",Unverified estimation
471,Federico Gattoni,ar ARG,DF,Sevilla,26,"€ 8,077 (£ 6,995, $9,388)","€ 420,000 (£ 363,744, $488,194)",Unverified estimation
472,Cristian,es ESP,GK,Valencia,27,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
473,Pablo Durán,es ESP,"FW,MF",Celta Vigo,24,"€ 8,077 (£ 7,002, $9,407)","€ 420,000 (£ 364,080, $489,167)",Unverified estimation
474,Asier Osambela,,CM,Osasuna,21,"€ 7,308 (£ 6,329, $8,494)","€ 380,000 (£ 329,102, $441,699)",Unverified estimation
475,Unai Gómez,es ESP,MF,Athletic Club,22,"€ 7,308 (£ 6,335, $8,511)","€ 380,000 (£ 329,406, $442,580)",Unverified estimation
476,Tay Abed,,RW,Levante,21,"€ 7,308 (£ 6,329, $8,494)","€ 380,000 (£ 329,102, $441,699)",Unverified estimation
477,Juan Carlos,es ESP,GK,Girona,37,"€ 7,115 (£ 6,168, $8,287)","€ 370,000 (£ 320,737, $430,933)",Unverified estimation
478,Iker Benito,es ESP,MF,Osasuna,22,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
479,Iván Cuéllar,es ESP,GK,Mallorca,41,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
480,Lucas Bergström,fi FIN,GK,Mallorca,22,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
481,Yago Santiago,es ESP,MF,Elche,22,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
482,Adrián Liso,es ESP,"FW,MF",Getafe,20,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
483,Davinchi,,LB,Getafe,18,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
484,Jozhua Vertrouwd,,LB,Rayo Vallecano,21,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
485,Rahim Alhassane,,LB,Oviedo,24,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
486,Manu Bueno,es ESP,MF,Sevilla,21,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
487,Marc Vidal,,GK,Celta Vigo,25,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
488,Yoel Lago,es ESP,DF,Celta Vigo,21,"€ 6,154 (£ 5,335, $7,167)","€ 320,000 (£ 277,394, $372,699)",Unverified estimation
489,Carlos Macià,,CM,Villarreal,17,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
490,Justin Kalumba,,RW,Mallorca,21,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
491,Alejandro Rego,,CM,Athletic Club,22,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
492,Nicolás Serrano,es ESP,MF,Athletic Club,22,"€ 5,962 (£ 5,168, $6,943)","€ 310,000 (£ 268,726, $361,052)",Unverified estimation
493,Unai Egiluz,,CB,Athletic Club,23,"€ 5,962 (£ 5,168, $6,943)","€ 310,000 (£ 268,726, $361,052)",Unverified estimation
494,Buba Sangaré,es ESP,"DF,MF",Elche,17,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
495,Ángel Pérez,,RW,Alavés,23,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
496,Lass Kourouma,,CM,Girona,21,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
497,Ugo Raghouber,fr FRA,MF,Levante,22,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
498,Oso,,LB,Sevilla,22,"€ 5,962 (£ 5,163, $6,930)","€ 310,000 (£ 268,478, $360,334)",Unverified estimation
499,Javi Llabrés,,LW,Mallorca,23,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
500,Ibrahim Diabate,,CF,Alavés,26,"€ 5,000 (£ 4,330, $5,812)","€ 260,000 (£ 225,175, $302,215)",Unverified estimation
501,Ville Koski,,CB,Alavés,24,"€ 5,000 (£ 4,330, $5,812)","€ 260,000 (£ 225,175, $302,215)",Unverified estimation
502,Iñigo Arguibide,,RB,Osasuna,20,"€ 4,808 (£ 4,164, $5,588)","€ 250,000 (£ 216,514, $290,592)",Unverified estimation
503,David López,es ESP,DF,Mallorca,22,"€ 4,808 (£ 4,168, $5,599)","€ 250,000 (£ 216,714, $291,171)",Unverified estimation
504,Selton Sánchez,,CM,Athletic Club,18,"€ 4,808 (£ 4,164, $5,588)","€ 250,000 (£ 216,514, $290,592)",Unverified estimation
505,Carlos Espí,es ESP,FW,Levante,20,"€ 4,808 (£ 4,168, $5,599)","€ 250,000 (£ 216,714, $291,171)",Unverified estimation
506,Thiago Fernández,,LW,Oviedo,21,"€ 4,808 (£ 4,164, $5,588)","€ 250,000 (£ 216,514, $290,592)",Unverified estimation
507,Manu Fernández,es ESP,DF,Celta Vigo,24,"€ 4,808 (£ 4,168, $5,599)","€ 250,000 (£ 216,714, $291,171)",Unverified estimation
508,Miguel Román,,CM,Celta Vigo,23,"€ 4,808 (£ 4,168, $5,599)","€ 250,000 (£ 216,714, $291,171)",Unverified estimation
509,Vladyslav Krapyvtsov,,GK,Girona,20,"€ 4,615 (£ 4,001, $5,375)","€ 240,000 (£ 208,046, $279,524)",Unverified estimation
510,Unai Marrero,es ESP,GK,Real Sociedad,23,"€ 4,615 (£ 4,001, $5,375)","€ 240,000 (£ 208,046, $279,524)",Unverified estimation
511,Jan Salas,,CM,Mallorca,20,"€ 4,038 (£ 3,498, $4,694)","€ 210,000 (£ 181,872, $244,097)",Unverified estimation
512,Aitor Mañas,,CF,Alavés,23,"€ 4,038 (£ 3,498, $4,694)","€ 210,000 (£ 181,872, $244,097)",Unverified estimation
513,Paco Cortés,,LW,Levante,18,"€ 4,038 (£ 3,498, $4,694)","€ 210,000 (£ 181,872, $244,097)",Unverified estimation
514,Ángel Fortuño,,GK,Espanyol,24,"€ 4,038 (£ 3,501, $4,704)","€ 210,000 (£ 182,040, $244,584)",Unverified estimation
515,Adam Boayar,ma MAR,MF,Elche,19,"€ 3,846 (£ 3,334, $4,480)","€ 200,000 (£ 173,372, $232,937)",Unverified estimation
516,Santi Cazorla,es ESP,MF,Oviedo,40,"€ 3,750 (£ 3,251, $4,368)","€ 195,000 (£ 169,037, $227,113)",
517,Samu Becerra,,CM,Rayo Vallecano,19,"€ 3,654 (£ 3,164, $4,247)","€ 190,000 (£ 164,551, $220,850)",Unverified estimation
518,Andrés Castrín,,CB,Sevilla,22,"€ 2,692 (£ 2,334, $3,136)","€ 140,000 (£ 121,360, $163,056)",Unverified estimation
