Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
238,César Tárrega,es ESP,DF,Valencia,23,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
239,Diego López,es ESP,"MF,FW",Valencia,23,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
240,Dimitri Foulquier,fr FRA,DF,Valencia,32,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
241,José Luis García Vayá,es ESP,"MF,DF",Valencia,26,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
242,Aihen Muñoz,es ESP,DF,Real Sociedad,27,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
243,Beñat Turrientes,es ESP,MF,Real Sociedad,23,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
244,Jon Gorrotxategi,es ESP,MF,Real Sociedad,23,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
245,Luka Sučić,hr CRO,"MF,FW",Real Sociedad,22,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
246,Aitor Ruibal,es ESP,"DF,MF",Real Betis,29,"€ 31,923 (£ 27,673, $37,180)","€ 1,660,000 (£ 1,438,984, $1,933,375)",Unverified estimation
247,Antonio Raillo,es ESP,DF,Mallorca,33,"€ 31,538 (£ 27,339, $36,732)","€ 1,640,000 (£ 1,421,646, $1,910,081)",Unverified estimation
248,Thomas Lemar,fr FRA,MF,Girona,29,"€ 31,250 (£ 27,089, $36,396)","€ 1,625,000 (£ 1,408,644, $1,892,611)",
