Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
397,Rafik Messali,fr FRA,MF,Toulouse,22,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
398,Bryan Okoh,ch SUI,DF,Auxerre,22,"€ 8,654 (£ 7,495, $10,059)","€ 450,000 (£ 389,726, $523,065)",Unverified estimation
399,Felix Mambimbi,ch SUI,"FW,MF",Le Havre,24,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
400,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,24,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
401,Jacques Ekomie,ga GAB,"DF,MF",Angers,21,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
402,Ousmane Camara,ml MLI,DF,Angers,22,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
403,Stefan Bajic,fr FRA,GK,Strasbourg,23,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
404,Mathys De Carvalho,,DM,Lyon,20,"€ 8,654 (£ 7,495, $10,059)","€ 450,000 (£ 389,726, $523,065)",Unverified estimation
405,Mohamed Kaba,gn GUI,MF,Nantes,23,"€ 8,654 (£ 7,495, $10,059)","€ 450,000 (£ 389,726, $523,065)",Unverified estimation
406,Morgan Bokele,,LW,Metz,21,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
407,Rémy Labeau Lascary,gp GLP,"MF,FW",Brest,22,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
408,Anthony Bermont,fr FRA,FW,Lens,20,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
409,Fodé Sylla,,DM,Lens,19,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
410,Ismaëlo Ganiou,fr FRA,DF,Lens,20,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
411,Rayan Fofana,,CF,Lens,19,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
412,Renato Marin,it ITA,GK,Paris Saint-Germain,19,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
413,Álex Domínguez,es ESP,GK,Toulouse,27,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
414,Julián Vignolo,,CF,Toulouse,19,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
415,Kjetil Haug,no NOR,GK,Toulouse,27,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
416,Lamine Sy,mr MTN,DF,Auxerre,22,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
417,Mahamadou Nagida,cm CMR,DF,Rennes,20,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
418,Mathys Silistrie,,GK,Rennes,20,"€ 6,923 (£ 5,996, $8,047)","€ 360,000 (£ 311,781, $418,452)",Unverified estimation
419,Abdoul Ouattara,fr FRA,"MF,DF",Strasbourg,19,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
420,Marc-Aurèle Caillard,fr FRA,GK,Lille,31,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
421,Bandiougou Fadiga,fr FRA,MF,Lorient,24,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
422,Achraf Laâziri,ma MAR,LB,Lyon,22,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
423,Noham Kamara,,CB,Lyon,19,"€ 6,923 (£ 5,996, $8,047)","€ 360,000 (£ 311,781, $418,452)",Unverified estimation
424,Ali Youssif,,CB,Nantes,24,"€ 6,923 (£ 5,996, $8,047)","€ 360,000 (£ 311,781, $418,452)",Unverified estimation
425,Giorgi Abuashvili,,LW,Metz,22,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
426,Michel Mboula,ga GAB,"DF,MF",Metz,22,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
427,Pape Sy,,GK,Metz,28,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
428,Grégoire Coudert,fr FRA,GK,Brest,26,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
429,Andrija Bulatović,me MNE,MF,Lens,18,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
430,Régis Gurtner,fr FRA,GK,Lens,38,"€ 6,923 (£ 6,001, $8,063)","€ 360,000 (£ 312,069, $419,286)",Unverified estimation
431,Aladji Bamba,,DM,Monaco,19,"€ 6,538 (£ 5,668, $7,615)","€ 340,000 (£ 294,732, $395,992)",Unverified estimation
432,Edan Diop,fr FRA,CM,Monaco,21,"€ 6,538 (£ 5,668, $7,615)","€ 340,000 (£ 294,732, $395,992)",Unverified estimation
433,Fredrik Oppegard,no NOR,"MF,DF",Auxerre,22,"€ 6,346 (£ 5,501, $7,391)","€ 330,000 (£ 286,063, $384,346)",Unverified estimation
434,Trevan Sanusi,,LW,Lorient,18,"€ 6,346 (£ 5,501, $7,391)","€ 330,000 (£ 286,063, $384,346)",Unverified estimation
435,Mathieu Gorgelin,fr FRA,GK,Lens,34,"€ 6,346 (£ 5,496, $7,377)","€ 330,000 (£ 285,799, $383,581)",Unverified estimation
436,Jules Stawiecki,,GK,Monaco,18,"€ 5,577 (£ 4,834, $6,495)","€ 290,000 (£ 251,389, $337,758)",Unverified estimation
437,Gabin Bernardeau,fr FRA,MF,Nice,19,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
438,Jelle Van Neck,be BEL,GK,Marseille,21,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
439,Théo De Percin,mq MTQ,GK,Auxerre,24,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
440,Simon Ebonog,cm CMR,MF,Le Havre,20,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
441,Harouna Djibirin,,RW,Angers,19,"€ 5,192 (£ 4,497, $6,035)","€ 270,000 (£ 233,835, $313,839)",Unverified estimation
442,Melvin Zinga,fr FRA,GK,Angers,23,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
443,Ousmane Toure,fr FRA,DF,Lille,20,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
444,Lassine Diarra,ml MLI,GK,Lyon,22,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
445,Rémi Himbert,,LW,Lyon,18,"€ 5,192 (£ 4,497, $6,035)","€ 270,000 (£ 233,835, $313,839)",Unverified estimation
446,Dehmaine Tabibou,,CM,Nantes,20,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
447,Lucas Michal,,,Metz,20,"€ 5,192 (£ 4,497, $6,035)","€ 270,000 (£ 233,835, $313,839)",Unverified estimation
448,Sadibou Sané,sn SEN,DF,Metz,21,"€ 5,192 (£ 4,501, $6,047)","€ 270,000 (£ 234,052, $314,465)",Unverified estimation
449,Telli Siwe,,CB,Auxerre,21,"€ 4,231 (£ 3,667, $4,928)","€ 220,000 (£ 190,709, $256,230)",Unverified estimation
450,Lanroy Machine,,CF,Angers,20,"€ 4,231 (£ 3,667, $4,928)","€ 220,000 (£ 190,709, $256,230)",Unverified estimation
451,Marius Courcoul,fr FRA,MF,Angers,18,"€ 4,231 (£ 3,667, $4,928)","€ 220,000 (£ 190,709, $256,230)",Unverified estimation
452,Alpha Touré,sn SEN,MF,Metz,19,"€ 4,231 (£ 3,667, $4,928)","€ 220,000 (£ 190,709, $256,230)",Unverified estimation
453,Ousmane Ba,sn SEN,GK,Metz,23,"€ 4,231 (£ 3,664, $4,918)","€ 220,000 (£ 190,533, $255,721)",Unverified estimation
454,Yannis Lawson,tg TOG,DF,Metz,20,"€ 4,231 (£ 3,667, $4,928)","€ 220,000 (£ 190,709, $256,230)",Unverified estimation
455,Djibril Coulibaly,,CM,Nice,17,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
456,Dan Sinaté,fr FRA,DF,Angers,19,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
457,Nordan Mukiele,,LW,Rennes,19,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
458,Adel Mahamoud,,LW,Nantes,23,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
459,Alexis Mirbach,fr FRA,GK,Nantes,20,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
460,Hamidou Makalou,ml MLI,MF,Brest,19,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
461,Noah Jauny,ie IRL,GK,Brest,20,"€ 3,462 (£ 3,001, $4,032)","€ 180,000 (£ 156,034, $209,643)",Unverified estimation
462,Yann Liénard,fr FRA,GK,Monaco,22,"€ 3,269 (£ 2,834, $3,808)","€ 170,000 (£ 147,366, $197,996)",Unverified estimation
463,Bartosz Zelazowski,,GK,Nice,20,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
464,Enzo Faty,,CF,Toulouse,19,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
465,Seny Koumbassa,,CB,Toulouse,18,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
466,Ryan Rodin,,CF,Auxerre,19,"€ 3,077 (£ 2,665, $3,577)","€ 160,000 (£ 138,569, $185,979)",Unverified estimation
467,Daren Mosengo,,DM,Le Havre,19,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
468,Kenny Quetant,,CF,Le Havre,19,"€ 3,077 (£ 2,665, $3,577)","€ 160,000 (£ 138,569, $185,979)",Unverified estimation
469,Noam Obougou,,CF,Le Havre,19,"€ 3,077 (£ 2,665, $3,577)","€ 160,000 (£ 138,569, $185,979)",Unverified estimation
470,Oumar Pona,fr FRA,GK,Angers,19,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
471,Prosper Peter,,CF,Angers,18,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
472,Elías Legendre Quiñónez,,RW,Rennes,17,"€ 3,077 (£ 2,665, $3,577)","€ 160,000 (£ 138,569, $185,979)",Unverified estimation
473,Bahmed Deuff,,DM,Nantes,19,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
474,Ismaël Guerti,fr FRA,FW,Metz,21,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
475,Raphaël Le Guen,,CB,Brest,19,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
476,Alpha Diallo,,AM,Lens,19,"€ 3,077 (£ 2,667, $3,584)","€ 160,000 (£ 138,697, $186,349)",Unverified estimation
477,Alexis Vossah,,CM,Toulouse,17,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
478,Alvin Petit Dol,,CB,Auxerre,19,"€ 2,885 (£ 2,498, $3,353)","€ 150,000 (£ 129,909, $174,355)",Unverified estimation
479,Louis Mezerette,,GK,Auxerre,19,"€ 2,885 (£ 2,498, $3,353)","€ 150,000 (£ 129,909, $174,355)",Unverified estimation
480,Tom Negrel,fr FRA,GK,Auxerre,22,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
481,Guy-Noël Zohouri,,CM,Le Havre,19,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
482,Paul Argney,fr FRA,GK,Le Havre,19,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
483,Marius Louer,fr FRA,DF,Angers,18,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
484,Sékou Doucouré,,CB,Nantes,20,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
485,Cléo Mélières,,RB,Metz,20,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
486,Joseph Mangondo,fr FRA,CF,Metz,20,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
487,Saliou Diop,,CF,Brest,20,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
488,Kyllian Antonio,,CB,Lens,18,"€ 2,885 (£ 2,501, $3,360)","€ 150,000 (£ 130,029, $174,703)",Unverified estimation
489,Tidiane Devernois,,CM,Auxerre,18,"€ 2,500 (£ 2,165, $2,906)","€ 130,000 (£ 112,587, $151,108)",Unverified estimation
490,Stephan Zagadou,,CB,Le Havre,17,"€ 2,500 (£ 2,167, $2,912)","€ 130,000 (£ 112,691, $151,409)",Unverified estimation
491,Ilan Jourdren,,GK,Lens,17,"€ 2,500 (£ 2,167, $2,912)","€ 130,000 (£ 112,691, $151,409)",Unverified estimation
492,Nathan Buayi-Kiala,fr FRA,DM,Auxerre,21,"€ 2,308 (£ 1,990, $2,701)","€ 120,000 (£ 103,462, $140,466)",Unverified estimation
493,Elikya Legros,,CB,Auxerre,17,"€ 2,115 (£ 1,832, $2,459)","€ 110,000 (£ 95,266, $127,860)",Unverified estimation
