Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
263,Vincent Marchetti,fr FRA,MF,Paris FC,28,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
264,Maxime Dupé,fr FRA,GK,Nice,32,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
265,Himad Abdelli,dz ALG,MF,Marseille,25,"€ 17,500 (£ 15,156, $20,341)","€ 910,000 (£ 788,112, $1,057,753)",Unverified estimation
266,Jeffrey De Lange,nl NED,GK,Marseille,27,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
267,Clément Akpa,ci CIV,DF,Auxerre,23,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
268,Arouna Sangante,sn SEN,DF,Le Havre,23,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
269,Etienne Youte Kinkoue,fr FRA,"DF,MF",Le Havre,23,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
270,Loïc Nego,hu HUN,"DF,MF",Le Havre,34,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
271,Mbwana Samatta,tz TAN,FW,Le Havre,32,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
272,Mory Diaw,sn SEN,GK,Le Havre,32,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
273,Reda Khadra,de GER,FW,Le Havre,24,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
274,Timothee Pembele,fr FRA,"MF,DF",Le Havre,22,"€ 17,500 (£ 15,156, $20,341)","€ 910,000 (£ 788,112, $1,057,753)",Unverified estimation
275,Florent Hanin,dz ALG,"DF,MF",Angers,35,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
276,Jérémy Jacquet,fr FRA,DF,Rennes,20,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
277,David Datro Fofana,ci CIV,FW,Strasbourg,22,"€ 17,500 (£ 15,156, $20,341)","€ 910,000 (£ 788,112, $1,057,753)",Unverified estimation
278,Junior Mwanga,fr FRA,"DF,MF",Strasbourg,22,"€ 17,500 (£ 15,156, $20,341)","€ 910,000 (£ 788,112, $1,057,753)",Unverified estimation
279,Martial Godo,ci CIV,MF,Strasbourg,22,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
280,Samir El Mourabet,,CM,Strasbourg,20,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
281,Marius Broholm,no NOR,MF,Lille,20,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
282,Nathan Ngoy,be BEL,DF,Lille,22,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
283,Bamba Dieng,sn SEN,FW,Lorient,25,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
284,Igor Carioca,br BRA,DF,Lorient,28,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
285,Mohamed Bamba,ci CIV,FW,Lorient,23,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
