Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
379,Abdoulaye Ndiaye,,CB,Parma,23,"€ 15,962 (£ 13,836, $18,590)","€ 830,000 (£ 719,492, $966,687)",Unverified estimation
380,Hans Nicolussi Caviglia,it ITA,MF,Parma,25,"€ 15,962 (£ 13,824, $18,553)","€ 830,000 (£ 718,828, $964,764)",
381,Mariano Troilo,,CB,Parma,22,"€ 15,962 (£ 13,836, $18,590)","€ 830,000 (£ 719,492, $966,687)",Unverified estimation
382,Abdou Harroui,nl NED,MF,Hellas Verona,27,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",Unverified estimation
383,Lucas Da Cunha,fr FRA,MF,Como,24,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",Unverified estimation
384,Caleb Ekuban,gh GHA,"FW,MF",Genoa,31,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",
385,David Okereke,ng NGA,"FW,MF",Cremonese,27,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",
386,Kristian Thorstvedt,no NOR,MF,Sassuolo,26,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",Unverified estimation
387,Lautaro Valenti,ar ARG,DF,Parma,26,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",Unverified estimation
388,Lassana Coulibaly,ml MLI,MF,Lecce,29,"€ 14,808 (£ 12,836, $17,246)","€ 770,000 (£ 667,480, $896,806)",Unverified estimation
389,Alessandro Zanoli,it ITA,MF,Udinese,24,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
390,Branimir Mlacic,,CB,Udinese,18,"€ 14,231 (£ 12,325, $16,541)","€ 740,000 (£ 640,882, $860,151)",Unverified estimation
391,Lennon Miller,,CM,Udinese,19,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
392,Nicolò Bertola,it ITA,"DF,MF",Udinese,22,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",
393,Rui Modesto,ao ANG,MF,Udinese,25,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
394,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,32,"€ 14,231 (£ 12,325, $16,541)","€ 740,000 (£ 640,882, $860,151)",Unverified estimation
395,Pol Lirola,es ESP,MF,Hellas Verona,27,"€ 14,231 (£ 12,325, $16,541)","€ 740,000 (£ 640,882, $860,151)",Unverified estimation
396,Alberto Paleari,it ITA,GK,Torino,32,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
397,Benjamín Domínguez,ar ARG,MF,Bologna,21,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
398,Eivind Helland,,CB,Bologna,20,"€ 14,231 (£ 12,325, $16,541)","€ 740,000 (£ 640,882, $860,151)",Unverified estimation
399,Federico Ravaglia,it ITA,GK,Bologna,25,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
400,Giovanni Fabbian,it ITA,MF,Bologna,22,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",
401,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,20,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
402,Rosen Bozhinov,,CB,Pisa,21,"€ 14,231 (£ 12,325, $16,541)","€ 740,000 (£ 640,882, $860,151)",Unverified estimation
403,Simone Scuffet,it ITA,GK,Pisa,29,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
404,Benjamin Siegrist,ch SUI,GK,Genoa,33,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
405,Leonardo Sernicola,it ITA,"DF,MF",Cremonese,28,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
406,Matteo Bianchetti,it ITA,DF,Cremonese,32,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
407,Alessandro Deiola,it ITA,"MF,DF",Cagliari,29,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
408,Gennaro Borrelli,it ITA,FW,Cagliari,25,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
409,Vasilije Adžić,me MNE,MF,Juventus,19,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
410,Darryl Bakola,fr FRA,MF,Sassuolo,17,"€ 14,231 (£ 12,325, $16,541)","€ 740,000 (£ 640,882, $860,151)",Unverified estimation
411,Filippo Romagna,it ITA,DF,Sassuolo,28,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",
412,Laurs Skjellerup,dk DEN,FW,Sassuolo,22,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
413,Tarik Muharemovic,ba BIH,DF,Sassuolo,22,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
414,Gaetano Oristanio,it ITA,"FW,MF",Parma,22,"€ 14,231 (£ 12,336, $16,574)","€ 740,000 (£ 641,475, $861,866)",Unverified estimation
415,Niels Nkounkou,fr FRA,"MF,DF",Torino,24,"€ 13,269 (£ 11,503, $15,454)","€ 690,000 (£ 598,132, $803,632)",Unverified estimation
416,Razvan Sava,ro ROU,GK,Udinese,23,"€ 12,500 (£ 10,836, $14,559)","€ 650,000 (£ 563,457, $757,044)",Unverified estimation
417,Mihajlo Ilić,rs SRB,CB,Bologna,22,"€ 12,500 (£ 10,836, $14,559)","€ 650,000 (£ 563,457, $757,044)",Unverified estimation
418,Filip Stojilković,ch SUI,"FW,MF",Pisa,25,"€ 12,500 (£ 10,826, $14,530)","€ 650,000 (£ 562,937, $755,538)",Unverified estimation
419,Alessandro Marcandalli,it ITA,DF,Genoa,22,"€ 12,500 (£ 10,836, $14,559)","€ 650,000 (£ 563,457, $757,044)",Unverified estimation
420,Stefano Sabelli,it ITA,"MF,DF",Genoa,32,"€ 12,500 (£ 10,836, $14,559)","€ 650,000 (£ 563,457, $757,044)",Unverified estimation
421,Lorenzo Bernasconi,,LM,Atalanta,22,"€ 12,500 (£ 10,826, $14,530)","€ 650,000 (£ 562,937, $755,538)",Unverified estimation
422,Manuel De Luca,it ITA,FW,Cremonese,27,"€ 12,500 (£ 10,836, $14,559)","€ 650,000 (£ 563,457, $757,044)",Unverified estimation
423,Tommaso Barbieri,it ITA,MF,Cremonese,22,"€ 12,500 (£ 10,836, $14,559)","€ 650,000 (£ 563,457, $757,044)",Unverified estimation
